Time:ulong,Current:uinteger,Voltage:uinteger
"8203186000","1243200","3275"
"8204264000","1243200","3275"
"8205343000","1243200","3275"
"8206677000","1243200","3275"
"8207755000","1243200","3275"
"8208834000","1243200","3275"
"8209913000","1243200","3275"
"8210991000","1243200","3275"
"8212330000","1243200","3275"
"8213408000","1259300","3275"
"8214487000","1259300","3275"
"8215566000","1259300","3275"
"8216644000","1259300","3275"
"8217982000","1259300","3275"
"8219061000","1259300","3275"
"8220140000","1259300","3275"
"8221219000","1259300","3275"
"8222303000","1259300","3275"
"8223637000","1259300","3275"
"8224714000","1259300","3275"
"8225793000","1287400","3275"
"8226871000","1287400","3275"
"8227950000","1287400","3275"
"8229283000","1287400","3275"
"8230362000","1287400","3275"
"8231441000","1287400","3275"
"8232525000","1287400","3275"
"8233603000","1287400","3275"
"8234938000","1287400","3275"
"8236017000","1528700","3275"
"8237095000","1528700","3275"
"8238173000","1528700","3275"
"8239251000","1528700","3275"
"8240585000","1528700","3275"
"8241664000","1528700","3275"
"8242748000","1528700","3275"
"8243826000","1528700","3275"
"8244904000","1528700","3275"
"8246238000","1483600","3275"
"8247317000","1483600","3275"
"8248396000","1483600","3275"
"8249475000","1483600","3274"
"8250553000","1483600","3274"
"8251887000","1483600","3274"
"8252971000","1483600","3274"
"8254050000","1483600","3274"
"8255129000","1483600","3274"
"8256208000","1483600","3274"
"8257541000","1484000","3274"
"8258620000","1484000","3274"
"8259703000","1484000","3274"
"8260782000","1484000","3274"
"8261861000","1484000","3274"
"8263200000","1484000","3275"
"8264278000","1484000","3275"
"8265356000","1484000","3274"
"8266435000","1484000","3274"
"8267513000","1484000","3275"
"8268848000","1401300","3275"
"8269927000","1401300","3275"
"8271006000","1401300","3275"
"8272089000","1401300","3275"
"8273169000","1401300","3275"
"8274503000","1401300","3275"
"8275582000","1401300","3275"
"8276659000","1401300","3275"
"8277739000","1401300","3275"
"8278818000","1401300","3275"
"8280151000","1401300","3275"
"8281230000","1297100","3275"
"8282314000","1297100","3275"
"8283392000","1297100","3275"
"8284471000","1297100","3275"
"8285804000","1297100","3275"
"8286883000","1297100","3275"
"8287962000","1297100","3275"
"8289041000","1297100","3275"
"8290120000","1297100","3275"
"8291454000","1517400","3275"
"8292537000","1517400","3275"
"8293616000","1517400","3275"
"8294695000","1517400","3275"
"8295773000","1517400","3275"
"8297106000","1517400","3275"
"8298185000","1517400","3275"
"8299264000","1517400","3275"
"8300341000","1517400","3275"
"8301425000","1602700","3275"
"8302765000","1602700","3275"
"8303843000","1602700","3276"
"8304923000","1602700","3276"
"8306002000","1602700","3276"
"8307081000","1602700","3276"
"8308414000","1602700","3276"
"8309493000","1602700","3276"
"8310572000","1602700","3276"
"8311651000","1602700","3276"
"8312735000","1411200","3276"
"8314069000","1411200","3276"
"8315148000","1411200","3276"
"8316226000","1411200","3276"
"8317305000","1411200","3276"
"8318384000","1411200","3276"
"8319717000","1411200","3276"
"8320796000","1411200","3276"
"8321874000","1411200","3276"
"8322959000","1411200","3276"
"8324037000","1411200","3276"
"8325370000","1411200","3276"
"8326449000","1411200","3276"
"8327529000","1059600","3276"
"8328606000","1059600","3275"
"8329684000","1059600","3275"
"8331018000","1059600","3276"
"8332102000","1059600","3276"
"8333180000","1059600","3276"
"8334259000","1059600","3275"
"8335337000","1059600","3275"
"8336671000","1059600","3275"
"8337749000","1059600","3275"
"8338828000","1059600","3275"
"8339907000","1059600","3275"
"8340986000","1059600","3275"
"8342325000","1161400","3275"
"8343409000","1161400","3275"
"8344487000","1161400","3275"
"8345565000","1161400","3275"
"8346643000","1161400","3275"
"8347978000","1161400","3275"
"8349056000","1161400","3275"
"8350135000","1161400","3275"
"8351213000","1878300","3276"
"8352297000","1878300","3276"
"8353631000","1878300","3276"
"8354710000","1878300","3276"
"8355788000","1878300","3276"
"8356867000","1878300","3276"
"8357945000","1878300","3276"
"8359279000","1878300","3276"
"8360357000","1863400","3276"
"8361435000","1863400","3276"
"8362519000","1863400","3276"
"8363598000","1863400","3276"
"8364931000","1863400","3276"
"8366010000","1863400","3276"
"8367089000","1863400","3276"
"8368167000","1863400","3276"
"8369245000","1863400","3276"
"8370579000","1506200","3276"
"8371657000","1506200","3276"
"8372741000","1506200","3276"
"8373820000","1506200","3276"
"8374898000","1506200","3276"
"8376231000","1506200","3276"
"8377311000","1506200","3276"
"8378389000","1506200","3276"
"8379468000","1506200","3276"
"8380547000","1506200","3276"
"8381881000","1506200","3276"
"8382965000","1249800","3276"
"8384044000","1249800","3276"
